n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
20701715,"
      ورددت الجبال الصدى
",Khaled Hosseini,"
  4.05
","

  273,226
  ratings
","

    26,702
    reviews
","ربما يكون عنوان رواية خالد حسيني الجديدة، صعباً بالنسبة لعمليه السابقين، لكنها من أكثر قصصه ثباتاً وعاطفة حتى الآن، أكثر سلاسة وطموح من ""عداء الطائرة الورقية"" 2003، والسرد كان أكثر تعقيداً مقارنة بــ ""الف شمس ساطعة"" 2007.""الجبال"" تمتد عدة أجيال وتتحرك ذهاباً وأياباً بين أفغانستان والغرب. تبدأ القصة مع عبد الله و أخته باري في أفغانستان و تنتهي بعد مضي اكثر من خمسين عاما مروراً بقصص من ربطتهم دروب الحياة المتشابكة في أثينا - فرنسا - باكستان و أفعانستان بحبكة ممتعة و أسلوب واقعي مذهل.. ترتبط الرواية مع العديد من الثيمات التي تتقاطع مع رواياتيه السابقتين : العلاقة بين الآباء والأبناء، الأسلوب الذي يؤثر فيه الماضي على الحاضر، وتشترك معهما بالميل في رسم خريطة منطقة في منتصف الطريق بين عالم الخرافة الزاخر بالجرأة وعالم الواقع الضبابي الغامض.",Arabic,Arabic,Paperback,,432 pages,"
            Published
        2013
         by دال للنشر والتوزيع

            
              (first published February 29th 2012)
            
","['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']"
24883379-black,"
      Black: Part 1
",Kelly Harper,"
  3.82
","

  346
  ratings
","

    43
    reviews
","From USA Today Bestselling and Amazon Top 100 Author, Kelly Harper…From the author of the Top 100 romance, By You series, the Black Series is a steamy story of revenge, betrayal, and second chances. Calvin Black buries himself inside every woman he meets in an attempt to forget his past. Sofie Bennett is done with the bad boys and just wants a quiet life…But what happens when two old flames reignite? Will they both get burned?Black: Part 1…Calvin Black is the ruler of his own kingdom. He owns the hottest new club in New York City and he always gets what he wants. And who he wants. Women throw themselves at him, and he does with them what he pleases. He’s never been denied anything, except by one person…Sofie Bennett has been at her corporate job for nearly a year, but she still feels out of place. Her roommate and work-wife, Aimee, insists that she needs to cut loose and have more fun, but Sofie is doubtful. But when she discovers she’ll be attending an all day seminar with the hot new VP, Wade Foster, she begins to wonder if Aimee might have the right idea…Worlds collide when an unexpected night leads to a chance encounter. An encounter that’s destined to change Calvin and Sofie forever.**Mature Content** Recommended for ages 17+ due to sexual situations and language.Keywords: top 100 romance, bad boy romance novella, free new adult romance, billionaire revenge romance, free second chance romance",,,Kindle Edition,,77 pages,"
            Published
        February 8th 2015
        

      ","['Romance', 'Business', 'Amazon']"
19154140-snowman-s-noggin-and-neck-award,"
      Snowman's 'Noggin and Neck' Award
",Joyce  Mitchell,"
  5.00
","

  5
  ratings
","

    1
    review
",,English,English,Kindle Edition,,16 pages,"
            Published
        November 27th 2013
         by Amazon Digital Services

      ",[]
23309655-suicide-notes-from-beautiful-girls,"
      Suicide Notes from Beautiful Girls
",Lynn Weingarten,"
  3.46
","

  9,254
  ratings
","

    1,483
    reviews
","They say Delia burned herself to death in her stepfather’s shed. They say it was suicide.But June doesn’t believe it.June and Delia used to be closer than anything. Best friends in that way that comes before everyone else—before guys, before family. It was like being in love, but more. They had a billion secrets, tying them together like thin silk cords.But one night a year ago, everything changed. June, Delia, and June’s boyfriend, Ryan, were just having a little fun. Their good time got out of hand. And in the cold blue light of morning, June knew only this—things would never be the same again.Now Delia is dead. June is certain she was murdered. And she owes it to her to find out the truth…which is far more complicated than she ever could have imagined.Sexy, dark, and atmospheric, Suicide Notes from Beautiful Girls will keep you guessing until the very last page.",148141853X,9781481418539),Hardcover,,325 pages,"
            Published
        July 7th 2015
         by Simon Pulse

      ","['Young Adult', 'Mystery', 'Contemporary', 'Thriller', 'Fiction']"
25053272-the-establishment,"
      The Establishment: And How They Get Away with It
",Owen   Jones,"
  4.14
","

  5,796
  ratings
","

    490
    reviews
","In The Establishment Owen Jones, author of the international bestseller Chavs, offers a biting critique of the British Establishment and a passionate plea for democracyBehind our democracy lurks a powerful but unaccountable network of people who wield massive power and reap huge profits in the process. In exposing this shadowy and complex system that dominates our lives, Owen Jones sets out on a journey into the heart of our Establishment, from the lobbies of Westminster to the newsrooms, boardrooms and trading rooms of Fleet Street and the City. Exposing the revolving doors that link these worlds, and the vested interests that bind them together, Jones shows how, in claiming to work on our behalf, the people at the top are doing precisely the opposite. In fact, they represent the biggest threat to our democracy today - and it is time they were challenged.Owen Jones may have the face of a baby and the voice of George Formby but he is our generation's Orwell and we must cherish him (Russell Brand)This is the most important book on the real politics of the UK in my lifetime, and the only one you will ever need to read. You will be enlightened and angry (Irvine Welsh)Owen Jones displays a powerful combination of cool analysis and fiery anger in this dissection of the profoundly and sickeningly corrupt state that is present-day Britain. He is a fine writer, and this is a truly necessary book (Philip Pullman)",0141974990,9780141974996),Paperback,,384 pages,"
            Published
        March 1st 2015
         by Penguin

            
              (first published September 4th 2014)
            
","['Nonfiction', 'Politics', 'Economics', 'History']"
6513761-para-ti-uma-vida-nova,"
      Para ti, Uma Vida Nova
",Tiago Rebelo,"
  2.94
","

  118
  ratings
","

    6
    reviews
","Sempre que ia fazer surf para o Guincho, Cristina esquecia-se do resto do mundo. Para ela havia, nesses momentos, apenas o seu corpo na prancha e a imensidão azul do céu e do mar. No embalo das ondas não pensava na sua agenda totalmente preenchida, nas inúmeras solicitações que tinha enquanto mulher de um sucedido empresário da comunicação social e directora de uma recente aquisição do marido, o diário ´O Popular´. Esquecimento e desafio, era isso que procurava em cada ida ao Guincho. Mas a beleza pura e agreste daquela praia viria a evocar-lhe, um dia, bem mais do que isso, e ao contemplá-la seria invadida por uma outra beleza que se misturava com aquela, mas que tinha tonalidades incrivelmente profundas e ricas. Conheceria Miguel ali e seria ali que iria sentir a força e o espírito de um amor intenso, corajoso e rebelde, um amor que viria a mudar para sempre a tragectória da sua vida. Mas, por enquanto, Cristina concentrava-se apenas nos tubos azuis e brancos das ondas e não sonhava ainda que viria a apaixonar-se por um dos jornalistas mais creditados d´´O Popular´. Primeiro romance de Tiago Rebelo, Para ti Uma Vida Nova reveste-se de um inequívoco interesse literário tanto pela qualidade narrativa quanto pela construção do próprio enredo, bem estruturado e surpreendente.",9789722327299,9789722327299,Paperback,,132 pages,"
            Published
        April 5th 2001
         by Editorial Presença

            
              (first published 2001)
            
",['Romance']
13580679-falar-verdade-a-mentir,"
      Falar Verdade a Mentir
",Almeida Garrett,"
  3.24
","

  1,124
  ratings
","

    24
    reviews
","A peça conta a história de dois criados, José Félix e Joaquina, que se vão casar. Joaquina veio com os seus patrões do Porto para Lisboa, onde vive José Félix, o que lhes deu a oportunidade de estarem juntos.Joaquina revela então a José Félix que Amália, a filha do seu amo, prometeu-lhe que lhe iria dar um dote de cem moedas quando se casasse.Mas Joaquina disse que havia um problema: Duarte, o noivo de Amália, era um mentiroso compulsivo, e o pai de Amália (Brás Ferreira) disse-lhe que se o apanhasse numa mentira, acabava com o seu casamento.Interessado no dote, José Félix disse a Joaquina que tinham que dizer isso a Duarte, pois senão ele iria ser apanhado, o casamento iria ser cancelado e Joaquina nunca receberia o dote de Amália.Mas demasiado tarde! Duarte já tinha começado a contar mentiras ao pai de Amália, que após algumas histórias extraordinárias, começa a desconfiar dele.",9789726275763,9789726275763,Paperback,,64 pages,"
            Published
        2003
         by Areal Editores

            
              (first published April 7th 1845)
            
","['Classics', 'Plays', 'European Literature', 'Portuguese Literature']"
156156,"
      The Tunnels of Cu Chi: A Harrowing Account of America's Tunnel Rats in the Underground Battlefields of Vietnam
",Tom Mangold,"
  4.02
","

  1,651
  ratings
","

    105
    reviews
","At the height of the Vietnam conflict, a complex system of secret underground tunnels sprawled from Cu Chi Province to the edge of Saigon. In these burrows, the Viet Cong cached their weapons, tended their wounded, and prepared to strike. They had only one enemy: U.S. soldiers small and wiry enough to maneuver through the guerrillas’ narrow domain. The brave souls who descended into these hellholes were known as “tunnel rats.” Armed with only pistols and K-bar knives, these men inched their way through the steamy darkness where any number of horrors could be awaiting them–bullets, booby traps, a tossed grenade. Using firsthand accounts from men and women on both sides who fought and killed in these underground battles, authors Tom Mangold and John Penycate provide a gripping inside look at this fearsome combat. The Tunnels of Cu Chi is a war classic of unbearable tension and unforgettable heroes.",0891418695,9780891418696),Paperback,,320 pages,"
            Published
        November 29th 2005
         by Presidio Press

            
              (first published 1985)
            
","['History', 'Nonfiction', 'War', 'War', 'Military Fiction', 'Military', 'Military History', 'Cultural', 'Asia', 'North American Hi...', 'American History', 'Historical', 'Biography', 'History', 'World History']"
10757361-how-to-break-a-dragon-s-heart,"
      How to Break a Dragon's Heart
",Cressida Cowell,"
  4.36
","

  5,102
  ratings
","

    288
    reviews
","Stranded on the exceptionally dangerous, and possibly haunted, Beach of the Broken Heart, Hiccup must face Ug the Uglithug and complete the Impossible Task--or die trying. Along the way, he'll have to battle Berserks, dodge Scarers, and save Fishlegs from being fed to the Beast, all while being hunted down by an old enemy with a dark secret about the mysterious Lost Throne. With Toothless by his side, and time to stage his rescue running out, what's a Hero to do?Book Details: 
   Format: Hardcover 
   Publication Date: 11/7/2011 
   Pages: 320 
   Reading Level: Age 8 and Up 
 ",0316176184,9780316176187),Hardcover,,320 pages,"
            Published
        November 7th 2011
         by Little, Brown Books for Young Readers

            
              (first published August 26th 2009)
            
","['Fantasy', 'Fantasy', 'Dragons', 'Childrens', 'Fiction']"
3962401,"
      لغز الحياة
",مصطفى محمود,"
  3.94
","

  3,363
  ratings
","

    375
    reviews
",لغز الحياة... كلما تتوافر المعلومات بتقدم العلم وأدواته ،كلما تحير العقل البشري أمام هذه المعجزة. عن هذا اللغز قام الدكتور (مصطفى محمود) بتأليف هذا الكتاب فبدأ بشكل الحياة قبل ملايين السنين التى كانت تخلو من الضعف والشيخوخة ولا تعتمد على التزاوج والتلاقح.. لينتقل بعدها إلى تطور الحياة بعد الشجرة المحرمة ورحلتها مع الفناء. تتنوع ايضا موضوعات الكتاب لتشمل نظرية داروين ونظريات فرويد والقنبلة الذرية ولغات الحيوانات والحشرات وغيرها من ألغاز العلم والحياة التى يقدمها المؤلف بأسلوب مميز ومضمون خاص يحمل نظرة جديدة إلى العالم من حولنا.,9770810886,9770810886,Paperback,,111 pages,"
            Published
        2002
         by دار أخبار اليوم - قطاع الثقافة

            
              (first published 1967)
            
",['Philosophy']
