n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
247526,"
      Reaching Out: The Three Movements of the Spiritual Life
",Henri J.M. Nouwen,"
  4.24
","

  2,749
  ratings
","

    164
    reviews
",,0385236824,9780385236829),Paperback,,165 pages,"
            Published
        August 5th 1986
         by Image

            
              (first published 1975)
            
","['Spirituality', 'Religion', 'Christian', 'Religion', 'Theology', 'Nonfiction', 'Religion', 'Christianity', 'Christian', 'Christian Living']"
232674,"
      Dating Games
",R.M. Johnson,"
  4.10
","

  319
  ratings
","

    10
    reviews
","Though both gorgeous, the two Rodgers sisters couldn't be more different. Hennesey, a brilliant straight-A student, is soon off to college on a full scholarship. She's in a strong relationship with Rafe, a recently released convict who's trying to turn his life around after being unjustly jailed. He took a drug rap for his old friend Smoke, who has since become the most ruthless drug dealer in Chicago. Rafe wants nothing more to do with his old friends -- especially when he falls for Hennesey.  On the other hand, Alizé is perfectly comfortable relying on her undeniable sex appeal to get what she wants. When Livvy, the girls' mother, announces that they have to move out of her apartment because she is getting a smaller place to save up money and go back to school, Alizé panics as she is in desperate need of some money of her own. She and her girlfriends come up with an outrageous plan to score some fast cash -- persuading the men with fat pockets they meet at clubs to take the girls to a hotel and then drugging them and making off with their wallets and jewelry. Unfortunately for Alizé, one of their first victims is none other than Smoke, Rafe's old buddy. Once robbed, he's bent on revenge -- and the violent chain of events that follow will change the Rodgers family forever.",074346480X,9780743464802),Paperback,,320 pages,"
            Published
        September 9th 2004
         by Simon  Schuster

            
              (first published 2003)
            
","['Cultural', 'African American']"
7292936-the-very-best-of-charles-de-lint,"
      The Very Best of Charles de Lint
",Charles de Lint,"
  4.30
","

  1,414
  ratings
","

    136
    reviews
","At turns whimsical, dark, and mystical, this extraordinary collection of retold fairy tales and new, modern myths redefine the boundaries of magic. Compiling favored stories suggested by the author and his fans, this delightful treasury contains the most esteemed and beloved selections that de Lint has to offer. Innovative characters in unexpected places are the key to each plot: playful Crow Girls who sneak into the homes of their sleeping neighbors; a graffiti artist who risks everything to expose a long-standing conspiracy; a half-human girl who must choose between her village and her strange birthright; and an unrepentant trickster who throws one last party to reveal a folkloric tradition. Showcasing some of the finest offerings within the realms of urban fantasy and magical realism, this essential compendium of timeless tales will charm and inspire.Contents IntroductionIn Which We Meet Jilly Coppercorn Coyote Stories Laughter in the Leaves The Badger in the Bag And the Rafters Were Ringing Merlin Dreams in the Mondream Wood The Stone Drum Timeskip Freewheeling A Wish Named Arnold Into the Green The Graceless Child Winter Was Hard The Conjure Man We Are Dead Together Mr. Truepenny's Book Emporium and Gallery In the House of My Enemy The Moon Is Drowning While I Sleep Crow Girls Birds Held Safe by Moonlight and Vines In the Pines Pixel Pixies Many Worlds Are Born Tonight Sisters Pal o' Mine That Was Radio Clash Old Man Crow The Fields Beyond the Fields",English,English,Paperback,,425 pages,"
            Published
        July 15th 2010
         by Tachyon Publications

            
              (first published 2010)
            
","['Fantasy', 'Short Stories', 'Fantasy', 'Urban Fantasy', 'Fiction']"
345167,"
      The Process
",Brion Gysin,"
  4.01
","

  279
  ratings
","

    24
    reviews
","Ulys O. Hanson, an African-American professor of the History of Slavery, who is in North Africa on a mysterious foundation grant, sets off across the Sahara on a series of wild adventures. He first meets Hamid, a mad Moroccan who turns him on, takes him over and teaches him to pass as a Moor. Mya, the richest woman in creation, and her seventh husband, the hereditary Bishop of the Farout Islands, also cross his path with their plans to steal the Sahara and make the stoned professor the puppet Emperor of Africa.",1585677116,9781585677115),Paperback,,324 pages,"
            Published
        November 29th 2005
         by Harry N. Abrams

            
              (first published March 5th 1970)
            
","['Fiction', 'Literature', 'Novels', 'Cultural', 'Counter Culture']"
13163842-jump,"
      Jump
",Moemoe Rizal,"
  3.51
","

  89
  ratings
","

    29
    reviews
","One-two-three-four, we’re the best cheers on the floor!Five-six-seven-eight, we’re the prettiest, ready to fight!Fight! Fight! Fight! We’re saying it right!Cheer! Cheer! Cheer! We own the atmosphere!C-C-C-CHEERLEADERS!Akui saja, cewek berseragam cheerleader SELALU terlihat tiga level lebih keren daripada cewek-cewek jelata lainnya. Belum lagi rambut indah, bodi oke, dan kaki langsing seperti supermodel—helloooo..., cowok mana sih yang sanggup menolak pesonamu?Dan, saat akhirnya resmi bergabung dengan squad, kamu juga otomatis menjadi populer. Nggak usah heran kalau teman mendadak bertambah banyak di akun Facebook dan Twitter-mu. Orang yang tak pernah kamu ajak mengobrol, tahu-tahu menyapamu saat berpapasan di kantin. They practically worship you, adore you. Nggak heran, kamu kan the next it girl?Sayangnya, nggak seorang pun pernah bercerita seperti apa hidup setelah menjadi populer. Kamu terpaksa harus mengakui, tak sedikit orang yang iri padamu. Setiap kau membalikkan badan, orang-orang pasti menggosipkanmu. Mereka berharap bisa menjatuhkanmu, mempermalukanmu. Satu skandal dan, voilà, kamu jadi bahan tertawaan selama berminggu-minggu.But here you are. Tak peduli seperti apa orang membencimu, menikammu diam-diam dari belakang, kau akan tetap berdiri di puncak piramida dengan pom pom di kedua tangan. Suck it up, Darling, you are a cheerleader.Nggak semua cewek bisa seperti dirimu.",None,Combine,Paperback,,380 pages,"
            Published
        2011
         by GagasMedia

      ",['Young Adult']
18057,"
      A Damsel in Distress
",P.G. Wodehouse,"
  4.08
","

  4,769
  ratings
","

    502
    reviews
","When Maud Marsh flings herself into George Bevan’s cab in Piccadilly, he starts believing in damsels in distress. George traces his mysterious traveling companion to Belpher Castle, home of Lord Marshmoreton, where things become severely muddled. Maud’s aunt, Lady Caroline Byng, wants Maud to marry Reggie, her stepson. Maud, meanwhile, is known to be in love with an unknown American she met in Wales. So when George turns up speaking American, a nasty case of mistaken identity breaks out. In fact, the scene is set for the perfect Wodehouse comedy of errors.",1406953210,9781406953213),Paperback,,216 pages,"
            Published
        November 3rd 2006
         by rbooks

            
              (first published October 4th 1919)
            
","['Fiction', 'Humor', 'Classics', 'Humor', 'Comedy', 'Romance']"
7904453-the-broken-kingdoms,"
      The Broken Kingdoms
",N.K. Jemisin,"
  4.07
","

  20,151
  ratings
","

    1,621
    reviews
","In the city of Shadow, beneath the World Tree, alleyways shimmer with magic and godlings live hidden among mortalkind. Oree Shoth, a blind artist, takes in a homeless man who glows like a living sun to her strange sight. This act of kindness engulfs Oree in a nightmarish conspiracy. Someone, somehow, is murdering godlings, leaving their desecrated bodies all over the city. Oree's peculiar guest is at the heart of it, his presence putting her in mortal danger -- but is it him the killers want, or Oree? And is the earthly power of the Arameri king their ultimate goal, or have they set their sights on the Lord of Night himself?",0316043966,9780316043960),Paperback,,384 pages,"
            Published
        November 3rd 2010
         by Orbit

      ","['Fantasy', 'Fiction', 'Romance', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy']"
38504,"
      You Get So Alone at Times That it Just Makes Sense
",Charles Bukowski,"
  4.24
","

  12,468
  ratings
","

    541
    reviews
",,0876856830,9780876856833),Paperback,,320 pages,"
            Published
        June 5th 1986
         by Black Sparrow Press

      ","['Poetry', 'Classics', 'Fiction']"
92488,"
      Prague
",Arthur Phillips,"
  3.06
","

  3,593
  ratings
","

    476
    reviews
",,0375759778,9780375759772),Paperback,,400 pages,"
            Published
        June 10th 2003
         by Random House Trade Paperbacks

            
              (first published 2002)
            
","['Fiction', 'Travel', 'Historical', 'Historical Fiction', 'Cultural', 'Hungary', 'Literature']"
5853,"
      Half a Life
",V.S. Naipaul,"
  3.25
","

  3,472
  ratings
","

    351
    reviews
","In a narrative that moves with dreamlike swiftness from India to England to Africa, Nobel Laureate V. S. Naipaul has produced his finest novel to date, a bleakly resonant study of the fraudulent bargains that make up an identity.The son of a Brahmin ascetic and his lower-caste wife, Willie Chandran grows up sensing the hollowness at the core of his father's self-denial and vowing to live more authentically. That search takes him to the immigrant and literary bohemias of 1950s London, to a facile and unsatisfying career as a writer, and at last to a decaying Portugese colony in East Africa, where he finds a happiness he will then be compelled to betray. Brilliantly orchestrated, at once elegiac and devastating in its portraits of colonial grandeur and pretension, Half a Life represents the pinnacle of Naipaul's career.",037570728X,9780375707285),Paperback,,224 pages,"
            Published
        April 23rd 2009
         by Vintage International

            
              (first published 2001)
            
","['Fiction', 'Cultural', 'India', 'Literature', 'Cultural', 'Africa', 'Historical', 'Historical Fiction']"
