n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
1820839,"
      Tennessee Williams: Eight Plays (Book Club Edition)
",Tennessee Williams,"
  4.41
","

  37
  ratings
","

    3
    reviews
",,,,Hardcover,,843 pages,"
            Published
        1979
         by Nelson Doubleday, Inc.

      ","['Drama', 'Plays', 'Plays', 'Theatre']"
17412268-gal-pagos,"
      Galápagos
",Kurt Vonnegut,"
  3.88
","

  61,746
  ratings
","

    2,561
    reviews
","Liian suuret aivot ovat ehdottomasti ihmisen suurin onnettomuus, todistaa Vonnegut vastaanpanemattomasti. Tilanne on riistäytynyt käsistä, maailma kuolemassa nälkään, mutta Vonnegutin silmä, tällä kertaa henkenä mukana oleva tieteiskirjailija Troutin poika, saa miljoona vuotta seurata ihmiskunnan uutta muotoutumista. Galapagossaarille lähtevän vuosisadan luontoristeilyn jäljellejääneet harvat osanottajat ja kuusi kanka-bono-tyttöä, joista tulee uuden ihmisrodun kantaäidit - veteen sopeutuvien virtaviivaisten pieniaivoisten ... Vonnegut lomittaa miljoonan vuoden tarinansa useampaan kehyskertomukseen, jotka hitaasti kohtaavat toisensa ja muodostavat kokonaisen, hullunkurisen mutta niin ihastuttavan koomisen ihmisnäkymän, mistä ei myöskään puutu vakavampia, ihmisyyden tilaa puntaroivia opastuksia.",951306994X,951306994X,Paperback,4th,273 pages,"
            Published
        1998
         by Tammi

            
              (first published 1985)
            
","['Fiction', 'Science Fiction', 'Classics', 'Humor']"
15749887-beautiful-disaster,"
      Beautiful Disaster
",Jamie McGuire,"
  4.12
","

  505,020
  ratings
","

    27,042
    reviews
","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. Travis Maddox, lean, cut, and covered in tattoos, is exactly what Abby needs—and wants—to avoid. He spends his nights winning money in a floating fight ring, and his days as the ultimate college campus charmer. Intrigued by Abby’s resistance to his appeal, Travis tricks her into his daily life with a simple bet. If he loses, he must remain abstinent for a month. If Abby loses, she must live in Travis’s apartment for the same amount of time. Either way, Travis has no idea that he has met his match.",1476712042,9781476712048),Paperback,,416 pages,"
            Published
        August 14th 2012
         by Atria Books

            
              (first published May 26th 2011)
            
","['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance', 'Contemporary Romance']"
12911577-ripple,"
      Ripple
",Tui Allen,"
  4.32
","

  146
  ratings
","

    39
    reviews
","Have you ever wondered what goes on in the great marine intellects of the whales and dolphins? What wonders might they have achieved during the tens of millions of years of planetary rule they enjoyed before humans came down from the trees?Recently, forces from the universe decided that the time had come for humans to hear the defining story of their planet. This book is that story. Are we the last intelligent beings in the developed universe to hear it?Live awhile in Ocean Mind. Be prepared to forget your human material obsessions as you slip away and dance the waves with the young female dolphin Ripple. A divine narrator of the Hereafter sweeps you from Ripple's life in the unimaginably distant past to the not-so-distant future where you can see Ripple's impact on modern humanity. Follow Ripple as she negotiates the beauties and horrors of the ancient oceans and falls in love with the fighter Cosmo in the wild surf of Point Savage. Be there beside her when love stimulates her to a single achievement which brings renown to this planet, changes the universe forever, exalts the angels and ensures Ripple’s fame will outlive the planet itself.",,,Kindle Edition,,211 pages,"
            Published
        September 19th 2011
         by Tuiscope

      ","['Fantasy', 'Fiction', 'Animals', 'Animals', 'Animal Fiction']"
19408900-hating-alison-ashley,"
      Hating Alison Ashley
",Robin Klein,"
  3.51
","

  3,401
  ratings
","

    132
    reviews
","Alison Ashley. She was the most beautiful, graceful, elegant thing you ever saw in your life... And from the first day I hated her.Every so often, there comes a story so brilliant and lively and moving that it cannot be left in the past. Rediscover the magic of our country's most memorable children's books in the Penguin Australia Children's Classics series of stories too precious to leave behind.",067007683X,9780670076833),Hardcover,,204 pages,"
            Published
        March 20th 2013
         by Viking

            
              (first published 1984)
            
","['Young Adult', 'Fiction', 'Childrens']"
13547152-toothiana,"
      Toothiana: Queen of the Tooth Fairy Armies
",William Joyce,"
  4.21
","

  2,599
  ratings
","

    275
    reviews
","Beware a tooth fairy queen scorned in this, the third chapter book of Academy Award winner William Joyce's The Guardians series. There's a lot more to this tooth-swiping sprite than meets the eye!When last we heard, the Guardians were resting easy with the knowledge that the children of Santoff Clausen were finally safe from Pitch's dastardly plans.But is it all a ruse, a scheme, a lull the evil Nightmare King has deviously concocted?Whatever Pitch's plans, what he doesn't know is that there's a new Guardian in town, and she's not the type to forget old grudges. Actually, she's not the type to forget anything--because this Guardian is none other than Toothiana, the Tooth Fairy herself. She's fierce and fast and crossing her will lead to a multitude of troubles. And, it turns out that, well, all those teeth she has been collecting? They contain memories. The forgotten memories of childhood... including the memories of how to fly. Young Katherine is hopeful that these memories might help her to remember her parents. The Guardians hope they'll offer even further protection from Pitch.You can see how this information would be invaluable to our heroes. But it could also be invaluable to Pitch...",1442430524,9781442430525),Hardcover,,226 pages,"
            Published
        October 2nd 2012
         by Atheneum Books for Young Readers

      ","['Fantasy', 'Childrens', 'Fiction']"
21944884-atlantia,"
      Atlantia
",Ally Condie,"
  3.41
","

  14,162
  ratings
","

    2,324
    reviews
","DIVE INTO THE UNUSUAL ROMANWELT OF ALLY CONDIE.Twins.They were meant for a common life.But destiny separated them.Bay, I miss you so much, she whispered into the shell. From inside, a rushing singing sounded, recalling a time when water and land still belonged. Wherever her sister was now on the land surface, she had to find her - even if no one was allowed to leave the city under the glass ball.In a world divided into the water and the rural population, the twin nurses Rio and Bay are separated by a fate. Bay takes her trip to the surface. Rio remains back in Atlantia. To see her sister again, she has to find out why water and land have been separated and what wonderful and destructive gift the women of the family have in common.",0525426442,9780525426448),Hardcover,,298 pages,"
            Published
        October 28th 2014
         by Dutton Books for Young Readers

      ","['Young Adult', 'Fantasy', 'Science Fiction', 'Dystopia', 'Fiction', 'Science Fiction']"
18220866-little-dorrit,"
      Little Dorrit (Max Literary Classics)
",Charles Dickens,"
  3.98
","

  41,768
  ratings
","

    1,443
    reviews
","A novel of serendipity, of fortunes won and lost, and of the spectre of imprisonment that hangs over all aspects of Victorian society, Charles Dickens's Little Dorrit is edited with an introduction by Stephen Wall in Penguin Classics.When Arthur Clennam returns to England after many years abroad, he takes a kindly interest in Amy Dorrit, his mother's seamstress, and in the affairs of Amy's father, William Dorrit, a man of shabby grandeur, long imprisoned for debt in Marshalsea prison. As Arthur soon discovers, the dark shadow of the prison stretches far beyond its walls to affect the lives of many, from the kindly Mr Panks, the reluctant rent-collector of Bleeding Heart Yard, and the tipsily garrulous Flora Finching, to Merdle, an unscrupulous financier, and the bureaucratic Barnacles in the Circumlocution Office. A masterly evocation of the state and psychology of imprisonment, Little Dorrit is one of the supreme works of Dickens's maturity.Stephen Wall's introduction examines Dickens's transformation of childhood memories of his father's incarceration in the Marshalsea debtors' prison. This revised edition includes expanded notes, appendices and suggestion for further reading by Helen Small, a chronology of Dickens's life and works, and original illustrations.Charles Dickens is one of the best-loved novelists in the English language, whose 200th anniversary was celebrated in 2012. His most famous books, including Oliver Twist, Great Expectations, A Tale of Two Cities, David Copperfield and The Pickwick Papers, have been adapted for stage and screen and read by millions.If you enjoyed Little Dorrit, you might like Dickens's Barnaby Rudge, also available in Penguin Classics.",1904435831,9781904435839),Hardcover,,810 pages,"
            Published
        2008
         by Little Books

            
              (first published 1855)
            
","['Classics', 'Fiction']"
18899776-stroke-of-midnight,"
      Stroke of Midnight
",Olivia Drake,"
  3.66
","

  501
  ratings
","

    49
    reviews
","He's no Prince Charming. She doesn't have a pumpkin coach. Sometimes love is nothing like a fairy tale; it's even better...It's Never Too LateThe infamous Laura Falkner has returned to London society in disguise. Determined to clear her father's name, she becomes a companion to elderly Lady Josephine—only to learn the woman's nephew is none other than Alexander Ross, the devilish Earl of Copley, the man Laura once loved with all her heart. The same man who'd accused her father of theft and forced them to flee England. To Fall Head Over Heels In LoveAlex has never forgotten Laura—or forgiven himself for letting her go. Today, Laura is as lovely—and stubborn—as ever, and her attempts at crime-solving are putting her in danger. The only way Alex can keep her safe is to marry her. But how can this notorious rake convince Laura that his heart is true…before the clock strikes twelve? ",,,Kindle Edition,,353 pages,"
            Published
        June 4th 2013
         by St. Martin's Paperbacks

      ","['Romance', 'Historical Romance', 'Romance', 'Historical', 'Historical', 'Historical Fiction', 'Historical', 'Regency']"
307831,"
      Essays & Poems (Library of America College Editions)
",Ralph Waldo Emerson,"
  4.00
","

  13,238
  ratings
","

    65
    reviews
","Emerson's enduring power is apparent everywhere in American literature: there is scarcely a writer or philosopher who has not been touched by his vision. The first volume of his writing in The Library of America covers his most productive period, and encompasses his richest and most important works. Here in their entirety are the books that established Emerson's colossal reputation as our most eloquent champion of individualism and as a prescient critic of the countervailing pressures of society: Nature; Addresses, and Lectures; Essays, First and Second Series; Representative Men; and The Conduct of Life. Emerson's remarkable poetic gifts are represented by his published volumes and the best of the astonishing poems from his manuscripts, journals, and notebooks. No other volume conveys so fully the exhilaration and exploratory energy of perhaps America's greatest writer.",1883011329,9781883011321),Paperback,,1376 pages,"
            Published
        May 1st 1996
         by Library of America

            
              (first published 1856)
            
","['Poetry', 'Classics', 'Philosophy', 'Writing', 'Essays', 'Nonfiction', 'Literature', 'Environment', 'Nature', 'Literature', 'American', 'Classics', 'Classic Literature', 'History']"
