n,title,author,rating,num_ratings,num_reviews,descrip,binding,edition,pages,published_on,genres
100000,"
      The Best American Political Writing 2004: Special Election Year Edition
",Royce Flippin,"
  4.18
","

  11
  ratings
","

    1
    review
","The Best American Political Writing 2004 preserves the most incisive, controversial, and entertaining writing about the notable events and people of 2003 and the first half of 2004. The past twelve months have provided no shortage of topics for heated political conversation. From Saddam's capture to Arnold's victory in the California recall election; from the controversy over Iraq's weapons of mass destruction to the contest for the Democratic presidential nomination, 2004 provided an excess of political fodder for commentary from all sides. Selections from the country's finest political writers, including Al Franken, Ron Suskind, Jonathan Chait, Jeffrey Toobin, George Will, Paul Krugman, George Packer, Charles Krauthammer, William Safire, Molly Ivins, Franklin Foer, Spencer Ackerman, Robert Kagan, Bill Kristol, and many others can be found in this volume. Gathering the best writings from the nation's leading publications, including the New York Times , Washington Post , The New Yorker , The Nation , Atlantic Monthly , New Republic , Weekly Standard , Foreign Affairs , Vanity Fair and Salon.com , as well as from think tanks such as the American Enterprise Institute and the Brookings Institution, Flippin culls the best writing on the year's most talked-about topics.",Paperback,,400 pages,"
            Published
        September 20th 2004
         by PublicAffairs

            
              (first published 2004)
            
",['Politics']
100001,"
      Stephen Hawking's Universe
",John Boslough,"
  4.04
","

  674
  ratings
","

    31
    reviews
","Here is an intimate glimpse of the greatest scientist of our day, the brilliant physicist confined to a wheelchair whose A Brief History of Time has become the first worldwide scientific bestseller of the century. The story of Stephen Hawking's relentless quest for the secret of the origins of the universe will change forever the way you look at the stars . . . and your place among them.",Paperback,,127 pages,"
            Published
        1989
         by Fontana Paperbacks

            
              (first published July 1st 1984)
            
","['Science', 'Nonfiction', 'Science', 'Biography', 'Science']"
100002,"
      Beyond The Black Hole: Stephen Hawking's Universe
",John Boslough,"
  3.20
","

  10
  ratings
","

    0
    reviews
",,Hardcover,,144 pages,"
            Published
        1985
         by HarperCollins Publishers

      ","['Science', 'Nonfiction']"
100003,"
      Stephen Hawking's Life Works: The Cambridge Lectures
",Stephen Hawking,"
  4.38
","

  81
  ratings
","

    7
    reviews
",,Audio,,0 pages,"
            Published
        February 1st 1994
         by Audio Literature

            
              (first published 1994)
            
","['Science', 'Science', 'Nonfiction']"
100004,"
      Stephen Hawking: Understanding the Universe
",Gail Sakurai,"
  3.80
","

  5
  ratings
","

    0
    reviews
",,Hardcover,,30 pages,"
            Published
        September 1st 1996
         by Turtleback Books

      ",[]
100005,"
      In Search of Schrödinger's Cat
",John Gribbin,"
  4.02
","

  16,756
  ratings
","

    416
    reviews
","Quantum theory is so shocking that Einstein could not bring himself to accept it. It is so important that it provides the fundamental underpinning of all modern sciences. Without it, we'd have no computers, no science of molecular biology, no understanding of DNA, no genetic engineering.In Search of Schrodinger's Cat tells the complete story of quantum mechanics, a truth stranger than any fiction. John Gribbin takes us step by step into an even more bizarre and fascinating place, requiring only that we approach it with an open mind. He introduces the scientists who developed quantum theory. He investigates the atom, radiation, time travel, the birth of the universe, super conductors and life itself. And in a world full of its own delights, mysteries and surprises, he searches for Schrodinger's Cat - a search for quantum reality - as he brings every reader to a clear understanding of the most important area of scientific study today - quantum physics.In Search of Schrodinger's Cat is a fascinating and delightful introduction to the strange world of the quantum - an essential element in understanding today's world.",Paperback,,302 pages,"
            Published
        1991
         by Black Swan

            
              (first published September 1984)
            
","['Science', 'Nonfiction', 'Science', 'Science', 'Philosophy']"
100006,"
      Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries
",John Gribbin,"
  4.05
","

  1,430
  ratings
","

    58
    reviews
","In this eagerly anticipated sequel to the classic bestseller In Search of Schrodinger's Cat, John Gribbin digs even deeper into the mysterious and confounding world of quantum mechanics. Gribbin takes infinitely complex, mind-bending experiments, brings them to life, and makes them accessible to the lay reader. Under his deft guidance, we can begin to grasp the fundamental riddle of today's quantum mechanics: how a single photon can be seen going in two directions at once. Along the way, Gribbin reveals some fascinating discoveries: how quantum particles could one day be used in a Star Trek-type teleportation system, and how quantum cryptographers have developed ways of making unbreakable codes using quantum effects.Schrodinger's Kittens and the Search for Reality illuminates the world's most intriguing and enigmatic scientific phenomenon - and shows how the ""impossible dreams"" of such legendary scientists as Bohr, Feynman, and Einstein may soon become reality.",Paperback,,272 pages,"
            Published
        May 1996
         by Back Bay Books

            
              (first published 1984)
            
","['Science', 'Science', 'Nonfiction', 'Science']"
100007,"
      Detective Dog and the Search for Cat
",Sandi Hill,"
  3.50
","

  4
  ratings
","

    1
    review
",,Paperback,,16 pages,"
            Published
        March 1st 1998
         by Creative Teaching Press

      ",[]
100008,"
      In Search Of Cats
",Howard Loxton,"
  0.00
","

  0
  ratings
","

    0
    reviews
",,Unknown Binding,,94 pages,"
            Published
        1976
         by Excalibur Books

      ",[]
100009,"
      Reward, Lost Cat, The Search For Spock
",Donald Weiser,"
  0.00
","

  0
  ratings
","

    0
    reviews
",,Paperback,,,"
            Published
        
         by Booklocker.com

      ",[]
100010,"
      Beast of Never, Cat of God: The Search for the Eastern Puma
",Bob Butz,"
  3.22
","

  27
  ratings
","

    6
    reviews
",,Hardcover,,280 pages,"
            Published
        January 1st 2005
         by Lyons Press

      ","['Nonfiction', 'Science']"
