n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
36658326-humain-trop-humain,"
      Humain, trop humain
",Friedrich Nietzsche,"
  4.22
","

  8,992
  ratings
","

    257
    reviews
","On m’a assez souvent, et toujours avec une profonde surprise, déclaré qu’il y avait quelque chose de commun et de caractéristique dans tous mes ouvrages, depuis la Naissance de la tragédie jusqu’au dernier publié, le Prélude à une philosophie de l’avenir : ils contenaient tous, m’a-t-on dit, des lacs et des rets pour des oiseaux imprudents, et presque continuellement une provocation latente au renversement de toutes les estimations habituelles et de toutes les habitudes estimées. Quoi ? tout ne serait — qu’humain, trop humain ? C’est avec ce soupir qu’on sortait, dit-on, de mes ouvrages, non sans une sorte d’horreur et de méfiance même à l’égard le la morale ; bien plus, pas mal disposé et encouragé à se faire une fois le défenseur des pires choses : comme si peut-être elles n’étaient que les plus calomniées ? On a nommé mes livres une école de soupçon,...  ",,,Kindle Edition,,447 pages,"
            Published
        July 31st 2017
        

            
              (first published 1878)
            
","['Philosophy', 'Nonfiction', 'Classics', 'European Literature', 'German Literature']"
26633248-age-of-myth,"
      Age of Myth
",Michael J. Sullivan,"
  4.25
","

  21,262
  ratings
","

    2,224
    reviews
","What does it mean if the gods can be killed? Since time immemorial, humans have worshipped the gods they call Fhrey, truly a race apart: invincible in battle, masters of magic, and seemingly immortal. But when a god falls to a human blade, the balance of power between men and those they thought were gods changes forever. Now, only a few stand between humankind and annihilation: Raithe, reluctant to embrace his destiny as the God Killer; Suri, a young seer burdened by signs of impending doom; and Persephone, who must overcome personal tragedy to lead her people. The Age of Myth is over; the time of rebellion has begun.",,,Kindle Edition,,432 pages,"
            Published
        June 28th 2016
         by Del Rey

      ","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']"
27687495-sour-candy,"
      Sour Candy
",Kealan Patrick Burke,"
  3.95
","

  2,401
  ratings
","

    539
    reviews
",""" a stomach-twisting ride through the depths of horror, breathing new life into an often-stagnant part of the genre"" - Publishers Weekly, starred review.At first glance, Phil Pendleton and his son Adam are just an ordinary father and son, no different from any other. They take walks in the park together, visit county fairs, museums, and zoos, and eat together overlooking the lake. Some might say the father is a little too accommodating given the lack of discipline when the child loses his temper in public. Some might say he spoils his son by allowing him to set his own bedtimes and eat candy whenever he wants. Some might say that such leniency is starting to take its toll on the father, given how his health has declined.What no one knows is that Phil is a prisoner, and that up until a few weeks ago and a chance encounter at a grocery store, he had never seen the child before in his life.A new novella from the Bram Stoker Award-winning author of THE TURTLE BOY and KIN.",,,Kindle Edition,,67 pages,"
            Published
        November 13th 2015
        

      ","['Horror', 'Short Stories', 'Fiction', 'Novella']"
8719634-clockwork-angel,"
      Clockwork Angel
",Cassandra Clare,"
  4.33
","

  599,161
  ratings
","

    28,242
    reviews
","There is an alternate cover edition for this ASIN here.In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them....",,,Kindle Edition,,497 pages,"
            Published
        August 31st 2010
         by Margaret K. McElderry Books

      ","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Science Fiction', 'Steampunk']"
635112,"
      Can We Talk about Race?: And Other Conversations in an Era of School Resegregation
",Beverly Daniel Tatum,"
  4.05
","

  346
  ratings
","

    47
    reviews
","Beverly Daniel Tatum emerged on the national scene in 1997 with ""Why Are All the Black Kids Sitting Together in the Cafeteria?,"" a book that spoke to a wide audience about the psychological dynamics of race relations in America. Tatum's unique ability to get people talking about race captured the attention of many, from Oprah Winfrey to President Clinton, who invited her to join him in his nationally televised dialogues on race.In her first book since that pathbreaking success, Tatum starts with a warning call about the increasing but underreported resegregation of America. A self-described ""integration baby""--she was born in 1954--Tatum sees our growing isolation from each other as deeply problematic, and she believes that schools can be key institutions for forging connections across the racial divide.In this ambitious, accessible book, Tatum examines some of the most resonant issues in American education and race relations: -The need of African American students to see themselves reflected in curricula and institutions-How unexamined racial attitudes can negatively affect minority-student achievement-The possibilities--and complications--of intimate crossracial friendshipsTatum approaches all these topics with the blend of analysis and storytelling that make her one of our most persuasive and engaging commentators on race.Can We Talk About Race? launches a collaborative lecture and book series between Beacon Press and Simmons College, which aims to reinvigorate a crucial national public conversation on race, education and democracy.""What Tatum seeks to do above all is trigger sometimes challenging discussions about race, and infuse those discussions with a reality-based focus on how race affects us all. Her latest book does that beautifully, asking touch questions, and patiently, inclusively seeking answers."" --Boston Globe Beverly Daniel Tatum is author of Why Are All the Black Kids Sitting Together in the Cafeteria? and Assimilation Blues. She is currently president of Spelman College in Atlanta, where she lives with her husband.",0807032840,9780807032848),Hardcover,,147 pages,"
            Published
        April 1st 2007
         by Beacon Press (MA)

            
              (first published March 28th 2007)
            
","['Education', 'Nonfiction', 'Race', 'Social Movements', 'Social Justice', 'Sociology', 'Psychology', 'Teaching']"
35180629,"
      הכול, הכול
",Nicola Yoon,"
  4.08
","

  299,515
  ratings
","

    35,338
    reviews
","לסכן הכול הכול בשביל... האהבההמחלה שלי נדירה ומפורסמת. בגדול, אני אלרגית לעולם.אני לא יוצאת מהבית שלי, לא יצאתי ממנו שבע־עשרה שנה. האנשים היחידים שאני פוגשת הם אמא שלי והאחות שמטפלת בי, קרלה.אבל יום אחד משאית הובלות עוצרת מול הבית השכן. אני מסתכלת מהחלון ורואה אותו. הוא גבוה, רזה ולבוש כולו שחור — חולצת טריקו שחורה, מכנסי ג'ינס שחורים, סניקרס שחורים וכובע צמר שחור שמכסה לגמרי את השיער שלו. הוא שם לב שאני מסתכלת עליו ונועץ בי מבט. אני נועצת בו מבט בחזרה. קוראים לו אוֹלי.אולי אי־אפשר לחזות את העתיד, אבל ברגע הזה אני יודעת בדיוק מה עומד לקרות. אני הולכת להתאהב באוֹלי.וזה כמעט בוודאות יהיה אסון.הכול, הכול, רומן הביכורים של ניקולה יוּן לנוער, כיכב שמונה חודשים ברשימות רבי המכר של הניו יורק טיימס, תורגם ל־41 שפות ועובד לסרט קולנוע. ניקולה יוּן גדלה בג'מייקה ובברוקלין וחיה היום בלוס אנג'לס עם בתה בת השלוש ועם בעלה דייוויד, שיצר את האיורים לספר.",,,Paperback,הסרט,320 pages,"
            Published
        May 2017
         by זמורה ביתן

            
              (first published September 1st 2015)
            
","['Young Adult', 'Romance', 'Contemporary', 'Fiction']"
31677061-os-meninos-da-rua-paulo,"
      Os Meninos da Rua Paulo
",Ferenc Molnár,"
  4.14
","

  9,778
  ratings
","

    336
    reviews
","Num dos bairros de Budapeste um grupo de garotos, alunos do mesmo colégio, costuma se reunir depois das aulas num terreno baldio para jogar, brincar, contar os filmes que viram. Sentem-se importantes num mundo que é só deles. Noutro ponto da cidade, outra trinca forma outro império do faz-de-conta. Só que estes não têm seu próprio terreno. Daí a decisão de conquistarem o grund da Rua Paulo. E a guerra será terrível...",8500816430,9788500816437),Paperback,,120 pages,"
            Published
        1996
         by Ediouro

            
              (first published 1906)
            
","['Classics', 'Fiction', 'European Literature', 'Hungarian Literature', 'Childrens']"
35080212-jackass-vol-1,"
      Jackass!, Vol. 1
",Scarlet Beriko,"
  4.24
","

  755
  ratings
","

    99
    reviews
","When the panty hose go on, all bets are off between these best guy friends!Practical Keisuke’s incredibly handsome best friend Masayuki has always rubbed him just a little bit the wrong way. Maybe it’s because Masayuki is rich, carefree, and so stunningly handsome that he can, and does, have any girl he wants? But one day, when Keisuke accidentally wears his older sister’s panty hose to gym class, it’s suddenly his hot friend who’s doing the rubbing…on Keisuke’s panty hose-clad legs! Has he unwittingly unleashed a secret fetish that will change their relationship forever?",142159644X,9781421596440),Paperback,,240 pages,"
            Published
        October 10th 2017
         by SuBLime

            
              (first published July 30th 2016)
            
","['Sequential Art', 'Manga', 'Manga', 'Yaoi', 'Romance', 'Yaoi', 'Boys Love', 'LGBT', 'Sequential Art', 'Comics']"
25638179-las-investigaciones-de-alvirah-y-willy,"
      Las investigaciones de Alvirah y Willy
",Mary Higgins Clark,"
  3.67
","

  7,409
  ratings
","

    237
    reviews
","Alvirah Meehan, the former cleaning lady from Flushing, New York, who struck it rich in the lottery, made her first appearance in Mary Higgins Clark's Weep No More, My Lady. After she narrowly survived a stalking killer in that best-selling novel, grateful fans clamored for her return. Mary Higgins Clark obliged with several splendid short stories starring the ever-resourceful Alvirah and her occasionally befuddled but always dependable mate, Willy. Here are Alvirah and Willy, ensconced in their spacious Central Park South condo, surrounded by the rich and famous, some of whom just can't go on living (The Body in the Closet). But then Alvirah has become something of a celebrity herself and even appears on the Donahue show, thereby giving unfortunate ideas to a bunch of kidnappers who demand a hefty ransom for her hapless hubby (Plumbing for Willy). When they're not solving dastardly crimes or extricating themselves from danger in Manhattan, Alvirah and Willy like to escape to Cape Cod. Even there, however, they find plenty to keep Alvirah's steel-trap mind occupied (Death on the Cape), not to mention solving the problems of a fellow lottery winner in distress (A Clean Sweep), or returning to the Cypress Point Spa to solve a brutal slaying among the rich and beautiful (The Lottery Winner), or - as a surprise - the unexpected bonus of a Willy and Alvirah Christmas tale of suspense (Bye, Baby Bunting).",,,Mass Market Paperback,,261 pages,"
            Published
        October 2012
         by deBolsillo

            
              (first published 1994)
            
","['Mystery', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller']"
34726469-sky-in-the-deep,"
      Sky in the Deep
",Adrienne Young,"
  4.02
","

  18,565
  ratings
","

    4,368
    reviews
","Raised to be a warrior, seventeen-year-old Eelyn fights alongside her Aska clansmen in an ancient rivalry against the Riki clan. Her life is brutal but simple: fight and survive. Until the day she sees the impossible on the battlefield—her brother, fighting with the enemy—the brother she watched die five years ago.Faced with her brother's betrayal, she must survive the winter in the mountains with the Riki, in a village where every neighbor is an enemy, every battle scar possibly one she delivered. But when the Riki village is raided by a ruthless clan thought to be a legend, Eelyn is even more desperate to get back to her beloved family.She is given no choice but to trust Fiske, her brother’s friend, who sees her as a threat. They must do the impossible: unite the clans to fight together, or risk being slaughtered one by one. Driven by a love for her clan and her growing love for Fiske, Eelyn must confront her own definition of loyalty and family while daring to put her faith in the people she’s spent her life hating.Part Wonder Woman, part Vikings—and all heart.",1250168457,9781250168450),Hardcover,,340 pages,"
            Published
        April 24th 2018
         by Wednesday Books

      ","['Fantasy', 'Young Adult', 'Historical', 'Historical Fiction']"
