n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
6571806-love-through-the-eyes-of-an-idiot,"
      Love through the Eyes of an Idiot: A True Story of Finding the Secret of Love, Sex, and Romance
",J. Timothy King,"
  4.00
","

  14
  ratings
","

    4
    reviews
","""I was born with the heart of a romantic. I fell in love at the drop of a hat, longed for someone to heal my loneliness, always attracted to the wrong women. Like others, I struggled for years with love and relationships. And like others, I thought I was all alone and that there was something wrong with me. ""I finally did find a special someone, but finding that person was simpler than I had thought. ""The storybooks have it all wrong. ""This is my story, the frank confession of a romantic idiot who was lucky enough to find the secret of happily ever after."" (J. Timothy King)",0981692524,9780981692524),Paperback,,128 pages,"
            Published
        July 15th 2009
         by J. Timothy King

      ","['Autobiography', 'Memoir', 'Unfinished']"
3465,"
      Three Weeks With My Brother
",Nicholas Sparks,"
  4.02
","

  38,711
  ratings
","

    2,908
    reviews
","The day the brochure came was a typical one. With a wife and five small children, a hectic schedule, and a new book due to his publishers, Nicholas Sparks was busy with his usual routine. The colorful mailer, however, described something very different: a tour to some of the most exotic places on Earth. Slowly, an idea took hold in Nicholas's mind and heart. In January 2003, Nicholas Sparks and his brother, Micah, set off on a three-week trip around the globe. It was to mark a milestone in their lives, for at thirty-seven and thirty-eight respectively, they were now the only surviving members of their family. And as they voyaged to the lost city of Machu Picchu high in the Andes. . . to mysterious Easter Island. . . to Ayers Rock in the Australian outback. . . and across the vast Indian subcontinent, the ultimate story of their lives would unfold. Against the backdrop of the wonders of the world and often overtaken by their feelings, daredevil Micah and the more serious, introspective Nicholas recalled their rambunctious childhood adventures and the tragedies that tested their faith. And in the process, they discovered startling truths about loss, love and hope. Narrated with irrepressible humor and rare candor, and including personal photographs, Three Weeks with my Brother reminds us to embrace life with all its uncertainties. . . and most of all, to cherish the joyful times, both small and momentous, and the wonderful people who make them possible.Did You Know?---Three Weeks With My Brother is Nicholas's second work of non-fiction? (The first was Wokini, written with Olympic Gold Medalist Billy Mills.)Nicholas and Micah Sparks wrote the book together from separate coasts by talking on the phone and faxing drafts back and forth?The trip around the world was part of a Notre Dame alumni package?",0446694851,9780446694858),Paperback,,368 pages,"
            Published
        January 3rd 2006
         by Grand Central Publishing

            
              (first published April 5th 2004)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Travel']"
1845,"
      Into the Wild
",Jon Krakauer,"
  3.97
","

  796,772
  ratings
","

    19,987
    reviews
","Librarian's Note: An alternate cover edition can be found hereIn April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild.",0385486804,9780385486804),Paperback,,207 pages,"
            Published
        January 20th 1997
         by Anchor Books

            
              (first published 1996)
            
","['Nonfiction', 'Biography', 'Adventure', 'Travel']"
8934126-me,"
      Me
",Ricky Martin,"
  3.54
","

  2,241
  ratings
","

    339
    reviews
","International superstar, Ricky Martin, who has sold more than 60 million albums worldwide, opens up for the first time about memories of his early childhood, experiences in the famed boy band Menudo, struggles with his identity during the Livin' la Vida Loca phenomenon, reflections on coming to terms with his sexuality, relationships that allowed him to embrace love, and life-changing decisions like devoting himself to helping children around the world and becoming a father. Me is an intimate memoir about the very liberating and spiritual journey of one of the most iconic pop-stars of our time.",English,English,Hardcover,,292 pages,"
            Published
        November 2nd 2010
         by Celebra

            
              (first published January 1st 2010)
            
","['Biography', 'Nonfiction', 'Biography', 'Autobiography', 'Autobiography', 'Memoir', 'Music']"
126151,"
      Kaffir Boy: An Autobiography
",Mark Mathabane,"
  4.15
","

  14,381
  ratings
","

    719
    reviews
"," The Classic Story of Life in Apartheid South Africa  Mark Mathabane was weaned on devastating poverty and schooled in the cruel streets of South Africa's most desperate ghetto, where bloody gang wars and midnight police raids were his rites of passage. Like every other child born in the hopelessness of apartheid, he learned to measure his life in days, not years. Yet Mark Mathabane, armed only with the courage of his family and a hard-won education, raised himself up from the squalor and humiliation to win a scholarship to an American university.  This extraordinary memoir of life under apartheid is a triumph of the human spirit over hatred and unspeakable degradation. For Mark Mathabane did what no physically and psychologically battered ""Kaffir"" from the rat-infested alleys of Alexandra was supposed to do -- he escaped to tell about it.",0684848287,9780684848280),Paperback,,354 pages,"
            Published
        October 7th 1998
         by Free Press

            
              (first published 1986)
            
","['Nonfiction', 'Cultural', 'Africa', 'Autobiography', 'Memoir', 'Biography', 'History', 'Southern Africa', 'South Africa']"
13932,"
      The Noonday Demon: An Atlas of Depression
",Andrew Solomon,"
  4.18
","

  10,389
  ratings
","

    827
    reviews
","Sometimes, the legacy of depression includes a wisdom beyond one's years, a depth of passion unexperienced by those who haven't traveled to hell and back. Off the charts in its enlightening, comprehensive analysis of this pervasive yet misunderstood condition, The Noonday Demon forges a long, brambly path through the subject of depression--exposing all the discordant views and ""answers"" offered by science, philosophy, law, psychology, literature, art, and history. The result is a sprawling and thoroughly engrossing study, brilliantly synthesized by author Andrew Solomon.  Deceptively simple chapter titles (including ""Breakdowns,"" ""Treatments,"" ""Addiction,"" ""Suicide"") each sit modestly atop a virtual avalanche of Solomon's intellect. This is not a book to be skimmed. But Solomon commands the language--and his topic--with such grace and empathy that the constant flow of references, poems, and quotations in his paragraphs arrive like welcome dinner guests. A longtime sufferer of severe depression himself, Solomon willingly shares his life story with readers. He discusses updated information on various drugs and treatment approaches while detailing his own trials with them. He describes a pharmaceutical company's surreal stage production (involving Pink Floyd, kick dancers, and an opener à la Cats) promoting a new antidepressant to their sales team. He chronicles his research visits to assorted mental institutions, which left him feeling he would ""much rather engage with every manner of private despair than spend a protracted time"" there. Under Solomon's care, however, such tales offer much more than shock value. They show that depression knows no social boundaries, manifests itself quite differently in each person, and has become political. And, while it may worsen or improve, depression will never be eradicated. Hope lies in finding ways--as Solomon clearly has--to harness its powerful lessons. --Liane Thomas",0684854678,9780684854670),Paperback,,576 pages,"
            Published
        April 2nd 2002
         by Scribner

            
              (first published 2000)
            
","['Nonfiction', 'Psychology', 'Health', 'Mental Health', 'Autobiography', 'Memoir', 'Science']"
25899336-when-breath-becomes-air,"
      When Breath Becomes Air
",Paul Kalanithi,"
  4.35
","

  328,449
  ratings
","

    27,917
    reviews
","For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question What makes a life worth living?At the age of thirty-six, on the verge of completing a decade's worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi's transformation from a naïve medical student ""possessed,"" as he wrote, ""by the question of what, given that all organisms die, makes a virtuous and meaningful life"" into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. ""I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,"" he wrote. ""Seven words from Samuel Beckett began to repeat in my head: 'I can't go on. I'll go on.'"" When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both.",B00XSSYR50,B00XSSYR50,Kindle Edition,,208 pages,"
            Published
        January 19th 2016
         by Random House

            
              (first published January 12th 2016)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Health', 'Medicine']"
249042,"
      Darkness Visible: A Memoir of Madness
",William Styron,"
  4.04
","

  18,958
  ratings
","

    1,568
    reviews
",,0679736395,9780679736394),Paperback,,84 pages,"
            Published
        January 8th 1992
         by Vintage

            
              (first published September 4th 1990)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Psychology', 'Biography', 'Health', 'Mental Health']"
193755,"
      The Diving Bell and the Butterfly
",Jean-Dominique Bauby,"
  4.01
","

  53,527
  ratings
","

    4,272
    reviews
","‘Locked-in syndrome: paralysed from head to toe, the patient, his mind intact, is imprisoned inside his own body, unable to speak or move. In my case, blinking my left eyelid is my only means of communication.’In December 1995, Jean-Dominique Bauby, editor-in-chief of French ‘Elle’ and the father of two young children, suffered a massive stroke and found himself paralysed and speechless, but entirely conscious, trapped by what doctors call ‘locked-in syndrome’. Using his only functioning muscle – his left eyelid – he began dictating this remarkable story, painstakingly spelling it out letter by letter.His book offers a haunting, harrowing look inside the cruel prison of locked-in syndrome, but it is also a triumph of the human spirit.",0375701214,9780375701214),Paperback,,132 pages,"
            Published
        June 23rd 1998
         by Vintage

            
              (first published 1997)
            
","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Biography Memoir']"
65211,"
      Christ Stopped at Eboli: The Story of a Year
",Carlo Levi,"
  4.06
","

  4,805
  ratings
","

    383
    reviews
","It was to Lucania, a desolate land in southern Italy, that Carlo Levi—a doctor, painter, philosopher, and man of letters—was confined as a political prisoner because of his opposition to Italy's Fascist government at the start of the Ethiopian war in 1935. While there, Levi reflected on the harsh landscape and its inhabitants, peasants who lived the same lives their ancestors had, constantly fearing black magic and the near presence of death. In so doing, Levi offered a starkly beautiful and moving account of a place and a people living outside the boundaries of progress and time.",0374530092,9780374530099),Paperback,,275 pages,"
            Published
        January 10th 2006
         by Farrar, Straus and Giroux

            
              (first published 1945)
            
","['Cultural', 'Italy', 'European Literature', 'Italian Literature', 'Nonfiction', 'History', 'Classics']"
