2,27371034
3,7897851
4,40121205
14,43600950
21,44575575
34,17623975
38,35231
65,27774758
80,34511
92,9009637
107,22293224
118,11187932
149,15796700
152,4659
171,13453029
189,20801439
211,19549841
223,12983100
236,28009303
258,1499952
261,16429619
270,15055
271,4395
272,30008702
281,46601
286,618177
326,7913305
360,2199
361,18776097
365,6582637
371,11733898
373,43460271
376,11733930
380,37586
405,253058
425,88389
431,20388847
440,17673620
443,18132276
444,34927038
451,9804
462,45043077
466,11298
469,17455585
485,14061955
491,18930938
509,17231
512,24536832
515,31408159
518,18754855
557,18136407
562,46760314
581,42773851
585,17236613
586,6567284
592,19161852
648,42439142
656,17798287
660,15768191
696,11987
702,16134551
706,18710853
718,14383
726,17383481
738,17936909
755,13402447
757,18500665
791,12020927
795,15803693
798,18404957
799,26119570
809,38495676
823,9305362
829,17158513
830,46360566
849,14061957
878,1772910
880,10016013
890,7170627
898,16142105
913,23769683
915,8434205
933,33967732
943,2179276
957,13519397
960,17977415
972,16109563
975,41128585
984,24856817
1002,30165203
1008,316943
1032,36381037
1036,153795
1041,6387565
1055,9814682
1063,5031805
1064,16007855
1068,16160314
1071,20567969
1094,16031258
1100,682745
1111,458034
1122,15992880
1141,18498558
1148,3099780
1153,15158
1155,55428
1157,13834
1175,27619091
1234,17377032
1235,11805486
1237,31215933
1239,40891943
1244,18720887
1256,17387313
1274,13891
1280,13260668
1298,24920901
1308,7592279
1312,385228
1325,6288362
1342,21222015
1343,25060793
1356,153800
1360,92057
1366,920607
1389,13183957
1402,43887
1424,9533378
1439,25230946
1485,36697343
1492,10860399
1508,15778138
1521,180426
1525,15781026
1536,18481271
1548,35440465
1549,12021
1562,84351
1566,28382
1567,20359114
1568,18624197
1572,18210758
1587,250024
1596,9496240
1599,13573795
1608,20512062
1616,36576608
1634,24408
1637,9838977
1639,17860199
1646,24687
1657,15992895
1665,9409469
1680,63913
1681,18874565
1691,95621
1720,9462
1740,22733616
1765,760
1769,18516961
1778,71778
1800,23403402
1814,38230346
1819,92308
1820,47370723
1831,785454
1840,66354
1843,71252
1865,13508406
1867,15954655
1871,19464292
1875,40273980
1885,26119524
1886,33597279
1895,42270550
1899,385706
1922,26146630
1926,18134249
1947,14495404
1948,15704001
1951,40536620
2031,6748
2042,126381
2068,21015194
2078,34368744
2084,9917945
2108,17237477
