n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
461718,"
      The Hawk and the Dove
",Virginia Henley,"
  4.01
","

  1,966
  ratings
","

    53
    reviews
","The Dove...She'd been bought for a strip of land, then abandoned: a bartered bride, married by proxy, determined to wreak revenge.  As innocent Sara Bishop she'd paid dearly for freedom from her cruel, mocking family.  As flame-haired, jade-eyed Sabre Wilde, she would scandalize Queen Elizabeth's court as she set out to seduce her unknown husband, become his mistress--and make him her slave.The Hawk...The Queen's favorite, called The Sea God, his white teeth flashed in his bronze face as his deep, virile voice boomed orders to his men. He branded Sabre with his searing kiss and his masterful touch, not even aware she was already his wife. Captain Shane Hawkhurst knew how to command, how to subdue and ravage an enemy, but was he prepared to be caught in passion's merciless snare by a fiery beauty who ruled his heart and inflamed his senses?",0440201446,9780440201441),Paperback,,365 pages,"
            Published
        August 1st 1988
         by Dell

            
              (first published January 1st 1988)
            
","['Romance', 'Historical Romance', 'Romance', 'Historical', 'Historical', 'Medieval']"
15723902-the-lives-she-left-behind,"
      The Lives She Left Behind
",James   Long,"
  4.04
","

  371
  ratings
","

    70
    reviews
","In a Somerset village, a teenage boy confronts a teacher with a story he should know nothing about. The boy's impossible knowledge uncovers memories Michael Martin has done his utmost to forget - and soon propels him into danger. As Martin confronts his past once more, three girls arrive in the village of Pen Selwood, one of them drawn by an ancient instinct to find a man called Ferney. Her actions reignite a love story, an instinct that cannot be broken, irrespective of the hurt and danger it brings to those around them...",1780875320,9781780875323),Hardcover,,472 pages,"
            Published
        September 27th 2011
         by Quercus

            
              (first published January 1st 2010)
            
","['Fiction', 'Historical', 'Historical Fiction', 'Romance']"
1100375,"
      Lost on a Mountain in Maine
",Donn Fendler,"
  3.87
","

  1,458
  ratings
","

    187
    reviews
","Based on the true account of a boy's harrowing journey through the vast wilderness of the Katahdin Mountains, Lost on a Mountain in Maine is a gripping survival story for all ages.Twelve-year-old Donn Fendler steps away from his Boy Scout troop for only a minute, but in the foggy mountains of Maine, a minute is all it takes. After hours of trying to find his way back, a nervous and tired Donn falls down an embankment, making it impossible for him to be found. One sleepless night goes by, followed by a second . . . and before Donn knows it, almost two weeks have passed, leaving him starving, scared, and delirious.With rainstorms, black bears, and his fear of being lost forever, Donn's journey is a physically, mentally, and emotionally charged story told from the point of view of the boy who lived it. ",068811573X,9780688115739),Paperback,,112 pages,"
            Published
        December 23rd 2013
         by HarperCollins

            
              (first published 1939)
            
","['Nonfiction', 'Adventure', 'Survival', 'Adventure', 'Autobiography', 'Memoir', 'Biography']"
449017,"
      Praise of Folly
",Erasmus,"
  3.88
","

  11,640
  ratings
","

    587
    reviews
",,0140446087,9780140446081),Paperback,,256 pages,"
            Published
        November 25th 1993
         by Penguin Classics

            
              (first published 1510)
            
","['Philosophy', 'Classics', 'Nonfiction', 'Religion', 'Literature']"
17713832-milana,"
      Milana: Perempuan yang Menunggu Senja
",Bernard Batubara,"
  3.74
","

  627
  ratings
","

    85
    reviews
","""Kali ini saya sudah tahu namanya, Milana. Ia bercerita mengapa ia melukis senja. Dan mengapa ia selalu melakukannya di atas feri yang menyeberangi Selat Bali, dari Banyuwangi ke Jembrana. Ia sedang menunggu kekasihnya. Ia yakin suatu saat kekasihnya akan datang ke tempat ia menunggu. Ia tidak tahu kapan. Ia berkata kepada saya bahwa ia bukan saja yakin, tapi ia tahu, kekasihnya itu akan datang kepadanya.Namun, belakangan saya baru sadar, Milana sedang menunggu seseorang yang tiada.""- - - - - - - - - - - - - - - - “Benz seperti tukang tenun. Ia menciptakan embun dari kata-kata; saya menikmati sejuk dan beningnya. Saya menyukai cerita pertama kumpulan ini, cerita kedua, ketiga, dst. Ternyata saya menyukai semuanya.” – A. S. Laksana",,,Paperback,,192 pages,"
            Published
        April 25th 2013
         by Gramedia

            
              (first published April 1st 2013)
            
","['Short Stories', 'Asian Literature', 'Indonesian Literature', 'Romance', 'Fiction', 'Novels']"
12176927-dead-is-a-battlefield,"
      Dead is a Battlefield
",Marlene Perez,"
  4.13
","

  1,872
  ratings
","

    132
    reviews
","Love stinks! Jessica Walsh is starting her freshman year at Nightshade High and trying to forget about the tragic events surrounding her brother's graduation. She wants to have a normal high school experience. But that's easier said than done in Nightshade. When a new boy shows up at school, the girls are infected with a case of seriously creepy crushes. But when their obsession turns to violence, Jessica and her friends start to wonder if there's more going on than just a little friendly rivalry. Are the smitten girls turning into love zombies? And Jessica has other worries - like her crush on Dominic Gray, the cute but moody new singer for Side Effects May Vary, and the mysterious tattoo that appeared on her arm one day that lets her know whenever there is trouble brewing. Jessica learns she's a Virago, a woman warrior chosen to fight evil whenever it threatens her hometown. But does a lowly freshman really have what it takes to keep Nightshade safe?",0547607342,9780547607344),Paperback,,227 pages,"
            Published
        March 6th 2012
         by Houghton Mifflin Harcourt Publishing Company

      ","['Young Adult', 'Fantasy', 'Paranormal', 'Fantasy']"
1404932,"
      The Wicked Enchantment
",Margot Benary-Isbert,"
  3.99
","

  69
  ratings
","

    19
    reviews
","Life in the old cathedral town of Vogelsang had gone on peacefully for many years, and life for Anemone and her father had always been a happy one. But strange and disturbing things began to happen. One of the cathedral statues of a foolish virgin disappeared, and also the figure of the gargoyle that spouted above it. The mayor dismissed three of the town's most respected councilors, blaming them for the disappearance. And Anemone and her dog, Winnie, ran away from home - driven to it by the mean housekeeper and her horrid son who had made life miserable for Anemone since Father befriended and took them in.Even Aunt Gundula, a remarkable woman, who had been Anemone's mother's dearest friend and with whom Anemone took refuge, couldn't, at first, understand why things in the town were in such upheaval. It was unheard of that the songbirds which had always been welcomed back by the townspeople each spring were now being caught in nets by the Mayor and his friends, and the Mayor had actually forbidden the sale of Easter eggs. This was more than Gundula, who each year painted the most beautiful eggs for Easter, could stand.",0441886698,9780441886692),Paperback,,160 pages,"
            Published
        March 1st 1986
         by Ace

            
              (first published 1955)
            
","['Fantasy', 'Childrens', 'Young Adult']"
22084404-how-i-became-lotus-raine-the-porn-star,"
      How I became Lotus Raine...the porn star
",Erika Ashby,"
  3.90
","

  889
  ratings
","

    184
    reviews
","alternate cover edition for ASIN B00M29GV00I refused to work my way up the company ladder by sexually favoring my sleazy boss. I was beginning to lose hope. Until one day, he surprised me with an assignment that would literally rock my world.I never imagined my first assignment being my last. But Brent Nichols worked his way inside every way possible, unlocking something within me. Becoming a porn star was never part of the plan. Neither was changing my name. Everyone else knows me as Lucy Rogers, but you can call me Lotus Raine.",,,Kindle Edition,,216 pages,"
            Published
        July 22nd 2014
        

      ","['New Adult', 'Romance', 'Adult Fiction', 'Erotica', 'Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Erotica', 'Menage']"
41999,"
      The Dream Kingdom
",Cynthia Harrod-Eagles,"
  4.33
","

  250
  ratings
","

    7
    reviews
","1908 - Edwardian period; AviationIn the height of Edwardian splendour, Jessie and Violet share a sparkling London debut. At Morland Place, Teddy's business is expanding and he brings home a new wife, to the anxiety of his sister Henrietta who knows there can't be two mistresses of the house. England is a land of confidence and opportunity but below the surface troubles are stirring. The death of the King brings to a head the constitutional crisis, while abroad the flexing of Russian and German might are an ominous sign of the dangers that lie ahead.",0751533432,9780751533439),Paperback,,640 pages,"
            Published
        November 1st 2004
         by Little, Brown Book Group

            
              (first published 2003)
            
","['Historical', 'Historical Fiction', 'Historical', 'Fiction']"
23612407-farmakologjia-mjek-sore,"
      Farmakologjia Mjekësore
",Elton Bahtiri,"
  4.00
","

  12
  ratings
","

    0
    reviews
",,,,,,,,[]
410237,"
      Little Nemo: 1905-1914
",Winsor McCay,"
  4.46
","

  1,548
  ratings
","

    39
    reviews
",,3822863009,9783822863008),Hardcover,,432 pages,"
            Published
        April 1st 2000
         by Evergreen Taschen

            
              (first published January 1st 2000)
            
","['Sequential Art', 'Comics', 'Sequential Art', 'Graphic Novels', 'Fantasy', 'Art', 'Classics', 'Graphic Novels Comics']"
20883640-the-blood-feud,"
      The Blood Feud
",Shelley Young,"
  4.22
","

  32
  ratings
","

    5
    reviews
","Shelley Young’s The Blood Feud is the first book of the Dardian Dreshaj novels. Who would have thought that the death of an aging ex-mafia boss would start a war between law enforcement, the mafia and a secret criminal underworld organization known as The Association? Homicide Detective Jesse Richards is facing the murder case of his career. With hardly any evidence, no witnesses and no identity of the murderer he’s looking for, for the first time he fears he’s been given a case that will end up in the cold files. Desperate to uncover the reason behind Vito Russo’s seemingly senseless death, he’ll stop at nothing to bring the killer he’s looking for to justice. Just when he believes the case has reached a dead end, he stumbles upon a not so lucky break. Could the ruthless killer he’s looking for be the same man who has stolen his daughter’s heart? Aaliyah Richards is the only good thing going for Dardian Dreshaj, and he would do anything to keep her safe. Dardian has made it known from the beginning, mess with him and he might excuse it, mess with Aaliyah and all rules fly out the window. They knew what he was capable of. They knew Padukshëm was not a myth. The reason they threatened her never mattered. What does matter is after he’s finished with them, they’ll know never to do it again.",,,Kindle Edition,,518 pages,"
            Published
        December 10th 2013
        

            
              (first published November 9th 2013)
            
","['Romance', 'Contemporary Romance', 'Suspense', 'Thriller', 'Mystery Thriller']"
20940407-in-zeiten-des-abnehmenden-lichts,"
      In Zeiten des abnehmenden Lichts
",Eugen Ruge,"
  3.67
","

  2,157
  ratings
","

    251
    reviews
","Von den fünfziger Jahren über das Wendejahr 89 bis zum Beginn des neuen Jahrtausends reicht dieser Roman einer Familie. Im Mittelpunkt drei Generationen: Die Großeltern, noch überzeugte Kommunisten, kehren aus dem mexikanischen Exil in die junge DDR heim, um dort ihren Anteil am Aufbau der neuen Republik zu leisten. Ihr Sohn, als junger Mann nach Moskau emigriert und später in ein sibirisches Lager verschleppt, tritt die Reise vom anderen Ende der Welt, dem Ural, an. Er kehrt mit seiner russischen Frau zurück in eine Kleinbürgerrepublik, an deren Veränderbarkeit er weiterhin glauben will. Dem Enkel wird die Wahlheimat von Eltern und Großeltern indes zusehends zu eng - bis er, ausgerechnet am neunzigsten Geburtstag des Patriarchen, in den Westen geht. Die Strahlkraft der politischen Utopie scheint sich von Generation zu Generation zu verdunkeln: Es ist die Zeit des abnehmenden Lichts.Ein halbes Jahrhundert gelebter Geschichte, ein Deutschlandroman voll überraschender Wendungen und Details: groß durch seine menschliche Reife, seine Genauigkeit, seinen Humor.",3498057863,9783498057862),Hardcover,,432 pages,"
            Published
        September 1st 2011
         by Rowohlt

            
              (first published 2011)
            
","['Fiction', 'European Literature', 'German Literature', 'Historical', 'Historical Fiction', 'Cultural', 'Germany']"
18052066-lamentation,"
      Lamentation
",C.J. Sansom,"
  4.40
","

  11,160
  ratings
","

    1,006
    reviews
","As Henry VIII lies on his deathbed, an incendiary manuscript threatens to tear his court apart in the new installment of C.J. Sansom's Shardlake series.Autumn, 1546. King Henry VIII is slowly, painfully dying. His Protestant and Catholic councillors prepare for a final and decisive power struggle; whoever wins will control the government. The Catholics decide to focus their attack on Henry's sixth wife, the Protestant Queen Catherine Parr. As Catherine begins to lose the King's favour, she turns to the shrewd, hunchbacked lawyer, Matthew Shardlake, to contain a potentially fatal secret.The Queen has written a confessional book, Lamentation of a Sinner, a memoir so radical that if it came to the King's attention, it could bring her and her courtly sympathizers to ruination. The London printer into whose hands she entrusted the manuscript has been murdered, the book nowhere to be found.Shardlake's investigations take him down a trail that begins among printshops in the filthy backstreets of London, but leads him once more to the labyrinthine world of court politics, where Protestant friends can be as dangerous as Catholic enemies, and those who will support either side to further their ambition are the most dangerous of all.",0230744192,9780230744196),Hardcover,,642 pages,"
            Published
        October 23rd 2014
         by Mantle

      ","['Historical', 'Historical Fiction', 'Mystery', 'Fiction', 'Mystery', 'Crime', 'Historical', 'Mystery', 'Historical Mystery']"
750165,"
      For Men of Understanding
",Harun Yahya,"
  4.06
","

  54
  ratings
","

    3
    reviews
","It is stated as follows in the 164th verse of Surah al-Baqarah that one of the purposes of the Qur'an's revelation is to think, ""In the creation of the heavens and earth, and the alternation of the night and day, and the ships which sail the seas to people's benefit, and the water which Allah sends down from the sky - by which He brings the Earth to life when it was dead and scatters about in it creature of every kind-- And varying directions of the winds, and the clouds subservient between heaven and earth, there are signs for people who use there intellect"". Hundreds of similar verses in the Qur'an summon people to think on those being that created. When a person examines his own body or any other living thing in nature, in it he sees design, art, plan, and intelligence. This book is written to indicate some of the numerous signs of Allah.",1842000039,9781842000038),Hardcover,,288 pages,"
            Published
        December 1st 2000
         by Ta Ha Publishers

            
              (first published December 1st 1999)
            
","['Self Help', 'Religion', 'Nonfiction', 'History']"
